SINGLE ING,SCORE IN FIVE,FOUR IN FIVE,SIX IN FIVE,AVG IN FIVE,WEATHER,PITCH TYPE,SCORE TYPE
Thirty Nine,Fifty Five,Six,NIl,Eleven,Sunny,BOWLING,Medium
Thirty,Fourty Nine,Four,One,NIne,Pretty cloudy,BOWLING,Medium
Twenty Seven,Thirty Eight,One,Three,Seven,Overcast,BOWLING,Medium
Eight,Twenty Seven,NIl,One,Five,Sunny,BALANCED,Low
Fifteen,ThirtyThree,One,One,Six,Pretty cloudy,BATTING,Low
Nineteen,Fourty Seven,Three,Two,Nine,Clear,BALANCED,Low
Thirty Four,Eighty One,Six,Nil,Sixteen,Sunny,BALANCED,Medium
Fivty One,Seventy Two,Four,One,Fourteen,Sunny,BALANCED,High
Twenty Two,Fifty Eight,Three,Two,Eleven,Pretty cloudy,BATTING,Low
Seventeen,Fifty Five,Two,Two,Eleven,Clear,BATTING,Low
Nineteen,Seventy Eight,Three,One,Fifteen,Overcast,BALANCED,Low
Thirty Eight,Eighty Three,Four,Two,Sixteen,Clear,BALANCED,Medium
Fourty Four,Ninety FIve,Five,Three,Nineteen,Sunny,BALANCED,Medium
Fifty Three,One Hundred Six,Eight,Three,Twenty One,Pretty cloudy,BATTING,High
Eighteen,Sixty Nine,Three,One,Thirteen,Clear,BALANCED,Low
Twenty Four,Sevent Three,Two,Four,Fourteen,Clear,BOWLING,Medium
Thirty One,Eighty Four,Four,One,Sixteen,Overcast,BALANCED,Medium
Thirty Five,Eighty Nine,Seven,Two,Seventeen,Pretty cloudy,BALANCED,Medium
FourtyTwo,Ninty Eight,Eight,Three,Ninnteen,Sunny,BALANCED,Medium